name,language,stars,forks,size,last_pushed
ionic-team/ionic,TypeScript,30131,8051,72960,2017-06-23T19:53:36Z
Microsoft/vscode,TypeScript,29537,4040,87685,2017-06-23T23:22:06Z
angular/angular,TypeScript,25234,6435,535426,2017-06-23T23:18:45Z
Microsoft/TypeScript,TypeScript,23156,3382,399165,2017-06-23T23:16:05Z
railsware/upterm,TypeScript,16294,472,6670,2017-06-20T06:54:43Z
ant-design/ant-design,TypeScript,14669,3375,164887,2017-06-23T18:22:48Z
angular-ui/ui-router,TypeScript,13323,3252,10907,2017-06-22T19:52:08Z
DefinitelyTyped/DefinitelyTyped,TypeScript,11173,9209,212511,2017-06-23T22:00:03Z
angular/angular-cli,TypeScript,10526,2109,4206,2017-06-23T20:36:57Z
NativeScript/NativeScript,TypeScript,10506,812,20809,2017-06-23T16:38:00Z
angular/material2,TypeScript,9379,2148,6173,2017-06-23T22:04:36Z
sahat/satellizer,TypeScript,8044,1269,7755,2017-06-20T15:56:22Z
ReactiveX/rxjs,TypeScript,6796,653,75822,2017-06-23T22:03:38Z
cyclejs/cyclejs,TypeScript,6624,248,10638,2017-06-21T09:51:20Z
akveo/ng2-admin,TypeScript,6526,2111,15921,2017-06-23T15:55:50Z
witheve/Eve,TypeScript,6373,232,11523,2017-06-23T21:38:54Z
palantir/blueprint,TypeScript,6366,341,42890,2017-06-23T22:40:47Z
google/google-api-nodejs-client,TypeScript,5259,790,22086,2017-06-16T03:57:36Z
tensorflow/playground,TypeScript,5015,859,1088,2017-05-13T10:18:36Z
Microsoft/reactxp,TypeScript,4921,300,1023,2017-06-23T23:09:10Z
sveltejs/svelte,TypeScript,4908,148,2008,2017-06-23T22:05:55Z
BabylonJS/Babylon.js,TypeScript,4615,1181,753594,2017-06-23T22:19:58Z
mgechev/angular-seed,TypeScript,4145,1579,3138,2017-06-23T12:37:19Z
winjs/winjs,TypeScript,3954,491,16712,2017-05-30T11:58:54Z
jquery/esprima,TypeScript,3803,563,51457,2017-06-23T11:32:24Z
theintern/intern,TypeScript,3763,289,3298,2017-06-16T19:58:08Z
postgraphql/postgraphql,TypeScript,3482,144,3685,2017-06-13T08:15:11Z
mozilla/shumway,TypeScript,3348,342,246261,2017-04-24T07:54:11Z
apollographql/apollo-client,TypeScript,3111,313,4341,2017-06-23T22:05:32Z
ng-bootstrap/ng-bootstrap,TypeScript,3086,523,1559,2017-06-21T18:10:00Z
ngrx/store,TypeScript,2979,259,183,2017-06-20T12:30:05Z
typings/typings,TypeScript,2947,235,487,2017-06-21T22:16:57Z
electron-userland/electron-builder,TypeScript,2919,333,113887,2017-06-23T18:49:13Z
ceolter/ag-grid,TypeScript,2889,481,43412,2017-06-23T10:44:47Z
valor-software/ngx-bootstrap,TypeScript,2835,846,158890,2017-06-23T18:56:10Z
esvit/ng-table,TypeScript,2737,931,4796,2017-03-31T14:42:40Z
turbulenz/turbulenz_engine,TypeScript,2718,414,35786,2016-01-01T01:24:37Z
Microsoft/code-push,TypeScript,2713,234,10954,2017-06-21T17:28:32Z
